"Time(s)"," X"," Y"," Z"
"1418260290.259","-968","520","-448"
"1418260290.344","-984","552","-496"
"1418260290.408","-920","720","-480"
"1418260290.491","-752","784","-528"
"1418260290.574","-552","848","-584"
"1418260290.657","-344","976","-688"
"1418260290.740","-48","1032","-824"
"1418260290.823","296","880","-608"
"1418260290.913","632","888","-368"
"1418260290.989","736","680","-96"
"1418260291.072","392","344","0"
"1418260291.155","80","160","-392"
"1418260291.326","504","-80","-488"
"1418260291.404","1248","88","144"
"1418260291.488","1056","232","-232"
"1418260291.571","448","224","-912"
"1418260291.654","456","-152","-1240"
"1418260291.737","552","48","96"
"1418260291.824","928","-80","-408"
"1418260291.903","1136","200","-48"
"1418260291.986","1040","376","-632"
"1418260292.069","904","424","-1152"
"1418260292.156","784","792","-400"
"1418260292.235","272","168","-896"
"1418260292.318","280","-384","-576"
"1418260292.401","808","-376","-528"
"1418260292.484","1080","40","-272"
"1418260292.567","1056","360","-680"
"1418260292.650","936","640","-896"
"1418260292.733","648","504","-552"
"1418260292.816","208","0","-400"
"1418260292.899","232","-528","-912"
"1418260292.982","664","-344","-504"
"1418260293.065","1096","128","-136"
"1418260293.148","1136","400","-656"
"1418260293.231","888","592","-1264"
"1418260293.314","352","216","-1112"
"1418260293.397","184","-96","-584"
"1418260293.480","320","-384","-776"
"1418260293.563","528","-328","-600"
"1418260293.646","800","-232","-648"
"1418260293.729","1008","80","-712"
"1418260293.812","912","296","-1376"
"1418260293.895","672","288","-1048"
"1418260293.978","304","120","-664"
"1418260294.061","152","-280","-552"
"1418260294.144","248","-640","-616"
"1418260294.227","592","-512","-856"
"1418260294.310","984","80","-664"
"1418260294.397","528","472","-1176"
"1418260294.476","264","-16","-592"
"1418260294.559","256","-576","-568"
"1418260294.642","392","-608","-928"
"1418260294.974","392","-80","-432"
"1418260295.057","296","-760","-880"
"1418260296.763","528","-768","-640"
"1418260296.883","616","536","-1064"
"1418260296.966","536","656","-584"
"1418260297.049","264","176","-800"
"1418260297.298","1128","184","-328"
"1418260297.381","616","328","-496"
"1418260297.464","104","240","-1216"
"1418260297.547","464","-352","-680"
"1418260297.630","992","112","344"
"1418260297.713","928","176","-400"
"1418260297.796","424","208","-960"
"1418260297.879","536","-200","-1424"
"1418260297.962","688","136","8"
"1418260298.045","1112","80","-496"
"1418260298.128","832","88","-608"
"1418260298.211","424","-72","-1448"
"1418260298.294","400","24","200"
"1418260298.378","776","-264","-504"
"1418260298.461","1112","-80","-248"
"1418260298.544","1024","208","-640"
"1418260298.627","880","384","-1120"
"1418260298.710","736","808","-488"
"1418260298.793","264","376","-968"
"1418260298.876","192","-408","-760"
"1418260298.959","528","-376","-608"
"1418260299.042","968","-200","-200"
"1418260299.125","1120","232","-216"
"1418260299.295","792","344","-768"
"1418260299.375","384","112","-752"
"1418260299.458","248","-336","-424"
"1418260299.541","376","-664","-448"
"1418260299.624","656","-736","-768"
"1418260299.706","920","-512","-832"
"1418260299.789","840","-152","-1152"
"1418260299.872","616","-184","-592"
"1418260299.955","400","-480","-440"
"1418260300.038","288","-832","-584"
"1418260300.121","112","-1104","-736"
"1418260300.204","112","-768","-64"
"1418260300.289","272","-248","96"
"1418260300.370","384","448","-216"
"1418260300.453","248","1104","-512"
"1418260300.536","40","1272","-592"
"1418260300.619","-240","1144","-560"
"1418260300.702","-496","1008","-480"
"1418260300.785","-664","632","-416"
"1418260300.868","-944","536","-528"
"1418260300.951","-1128","648","-424"
"1418260301.034","-1056","568","-384"
