"Time(s)"," X"," Y"," Z"
"1418236114.933","-896","752","-160"
"1418236115.099","-744","808","-88"
"1418236115.182","-680","816","-88"
"1418236115.268","-544","880","-232"
"1418236115.348","-520","1104","-424"
"1418236115.431","-432","1248","-424"
"1418236115.514","-288","1240","-464"
"1418236115.597","56","1088","-256"
"1418236115.680","368","656","-328"
"1418236115.763","400","224","-216"
"1418236115.846","488","288","-168"
"1418236115.933","600","248","-560"
"1418236116.013","616","248","-608"
"1418236116.096","512","-248","-560"
"1418236116.179","672","-64","-640"
"1418236116.262","960","512","-712"
"1418236116.345","800","736","-392"
"1418236116.428","640","648","-496"
"1418236116.511","536","440","-512"
"1418236116.594","592","-8","-712"
"1418236116.677","760","-528","-736"
"1418236116.764","768","-216","-984"
"1418236116.843","648","272","-448"
"1418236116.927","448","320","-680"
"1418236117.010","512","-368","-1144"
"1418236117.093","560","-736","-944"
"1418236117.176","512","-352","-472"
"1418236117.425","384","768","-496"
"1418236117.508","456","-88","-1000"
"1418236117.591","472","-576","-664"
"1418236117.674","496","-200","-256"
"1418236117.757","616","472","-360"
"1418236117.840","880","960","-720"
"1418236117.923","688","400","-808"
"1418236118.255","1000","264","-608"
"1418236118.338","888","448","-648"
"1418236118.422","408","-32","-464"
"1418236118.505","224","-856","-1120"
"1418236118.588","536","-720","-368"
"1418236118.671","992","16","-384"
"1418236118.754","864","320","-536"
"1418236118.837","480","-176","-672"
"1418236118.920","440","-712","-520"
"1418236119.003","552","-984","-664"
"1418236119.086","520","-320","-432"
"1418236119.169","376","-168","-512"
"1418236119.252","432","-600","-968"
"1418236119.335","520","-888","-984"
"1418236119.418","464","-880","-480"
"1418236119.501","392","-112","-440"
"1418236119.667","520","-752","-936"
"1418236119.750","752","-800","-536"
